,title,overview,len,ger
9495,The Crow,"Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven -- watched over by a hypnotic crow -- returns from the grave to exact revenge.",210,"Genau ein Jahr nachdem der junge Rockgitarrist Eric Draven und seine Verlobte von einer skrupellosen Verbrecherbande brutal ermordet wurden, kehrt Draven - bewacht von einer hypnotischen Krähe - aus dem Grab zurück, um Rache zu nehmen."
50456,Hanna,"A 16-year-old girl raised by her father to be the perfect assassin is dispatched on a mission across Europe. Tracked by a ruthless operatives, she faces startling revelations about her existence and questions about her humanity.",228,"Ein 16-jähriges Mädchen, das von ihrem Vater dazu erzogen wurde, die perfekte Attentäterin zu sein, wird auf eine Mission quer durch Europa geschickt. Verfolgt von einem skrupellosen Agenten, muss sie erschreckende Enthüllungen über ihre Existenz und Fragen über ihre Menschlichkeit machen."
304410,The Bélier Family,"The whole Bélier family is deaf, except for sixteen year old Paula who is the important translator in her parents' day to day life especially when it comes to matters concerning the family farm. When her music teacher discovers she has a fantastic singing voice and she gets an opportunity to enter a big Radio France contest the whole family's future is set up for big changes.",378,"Die gesamte Familie Bélier ist taub, mit Ausnahme der sechzehnjährigen Paula, die die wichtige Übersetzerin im Alltag ihrer Eltern ist, vor allem, wenn es um Angelegenheiten des Familienbetriebs geht. Als ihre Musiklehrerin entdeckt, dass sie eine fantastische Gesangsstimme hat, und sie die Chance bekommt, an einem großen Wettbewerb von Radio France teilzunehmen, steht die Zukunft der ganzen Familie vor großen Veränderungen."
17692,Jaws 3-D,"This third film in the series follows a group of marine biologists attempting to capture a young great white shark that has wandered into Florida's Sea World Park. However, later it is discovered that the shark's 35-foot mother is also a guest at Sea World. What follows is the shark wreaking havoc on the visitors in the park.",327,"In diesem dritten Film der Reihe geht es um eine Gruppe von Meeresbiologen, die versuchen, einen jungen Weißen Hai einzufangen, der sich in den Sea World Park in Florida verirrt hat. Später stellt sich jedoch heraus, dass die 35 Fuß lange Mutter des Hais ebenfalls zu Gast in Sea World ist. In der Folge richtet der Hai unter den Besuchern des Parks großen Schaden an."
218,The Terminator,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",389,"In der postapokalyptischen Zukunft teleportieren die herrschenden tyrannischen Supercomputer einen als ""Terminator"" bekannten Cyborg-Attentäter zurück ins Jahr 1984, um Sarah Connor zu töten, deren ungeborener Sohn dazu bestimmt ist, die Aufständischen gegen die mechanische Hegemonie des 21. In der Zwischenzeit entsendet die menschliche Widerstandsbewegung einen einsamen Krieger, um Sarah zu beschützen. Kann er die praktisch unzerstörbare Tötungsmaschine aufhalten?"
9502,Kung Fu Panda,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",319,"Als das Tal des Friedens bedroht wird, entdeckt der faule Panda Po sein Schicksal als ""Auserwählter"" und trainiert, um ein Kung-Fu-Held zu werden. Doch es wird nicht leicht sein, den ungeschickten Faulpelz in einen tapferen Krieger zu verwandeln. Es liegt an Meister Shifu und den Furious Five - Tigress, Crane, Mantis, Viper und Monkey -, es zu versuchen."
9506,Anger Management,"After a misunderstanding aboard an airplane that escalates out of control, the mild-mannered Dave Buznik is ordered by Judge Daniels to attend anger management sessions run by Doctor Buddy Rydell, which are filled with highly eccentric and volatile men and women. Buddy's unorthodox approach to therapy is confrontational and abrasive and Dave is bewildered by it. Then, after yet another mishap, Judge Daniels orders Dave to step up his therapy or wind up in jail. So, Buddy moves in with Dave to help him battle his inner demons. Buddy himself has no inner demons since he acts out at every opportunity and that includes making lewd comments about Dave's girlfriend Linda and goading Dave into confronting every slight, past or present, head-on. But Buddy finally goes too far and Dave must decide whether to crawl back into his shell or stand up for himself. Could it be that Buddy's confounding and contradictory treatment is just what the doctor ordered?",959,"Nach einem Missverständnis an Bord eines Flugzeugs, das außer Kontrolle gerät, wird der sanftmütige Dave Buznik von Richter Daniels dazu verdonnert, an Wutbewältigungssitzungen von Dr. Buddy Rydell teilzunehmen, die mit höchst exzentrischen und unberechenbaren Männern und Frauen besetzt sind. Buddys unorthodoxer Therapieansatz ist konfrontativ und ruppig, und Dave ist davon verwirrt. Nach einem weiteren Missgeschick ordnet Richter Daniels an, dass Dave seine Therapie intensivieren muss, sonst landet er im Gefängnis. Also zieht Buddy bei Dave ein, um ihm zu helfen, seine inneren Dämonen zu bekämpfen. Buddy selbst hat keine inneren Dämonen, da er sich bei jeder Gelegenheit aufspielt. So macht er anzügliche Bemerkungen über Daves Freundin Linda und stachelt Dave dazu an, jede Kränkung, ob in der Vergangenheit oder in der Gegenwart, direkt anzusprechen. Doch Buddy geht schließlich zu weit und Dave muss sich entscheiden, ob er sich in sein Schneckenhaus zurückziehen oder für sich selbst einstehen soll. Könnte es sein, dass Buddys verwirrende und widersprüchliche Behandlung genau das ist, was der Arzt verordnet hat?"
107811,21 & Over,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",241,"Der brillante Student Jeff Chang hat morgen das wichtigste Vorstellungsgespräch seines Lebens.  Doch heute ist noch sein Geburtstag. Was als lockere Feier mit Freunden beginnt, entwickelt sich zu einer Nacht der Ausschweifungen, die seinen Lebensplan zu sprengen droht."
9509,Man on Fire,"Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life.",248,"Der verbrauchte Ex-CIA-Agent John Creasy nimmt nur widerwillig einen Job als Leibwächter für ein 10-jähriges Mädchen in Mexiko-Stadt an. Als sie entführt wird, ist er außer sich vor Wut und schreckt vor nichts zurück, um ihr Leben zu retten."
9513,Garfield: A Tail of Two Kitties,"Garfield is back and this time Garfield and his canine sidekick Odie follows their owner, Jon Arbuckle, to England, the U.K. may never recover, as Garfield is mistaken for a look-alike, regal cat who has inherited a castle.",223,"Garfield ist zurück, und dieses Mal folgen Garfield und sein hündischer Kumpel Odie ihrem Besitzer Jon Arbuckle nach England. Das Vereinigte Königreich wird sich vielleicht nie wieder erholen, denn Garfield wird mit einer ähnlich aussehenden, königlichen Katze verwechselt, die ein Schloss geerbt hat."
1586,Secret Window,"Mort Rainey, a writer just emerging from a painful divorce with his ex-wife, is stalked at his remote lake house by a psychotic stranger and would-be scribe who claims Rainey swiped his best story idea. But as Rainey endeavors to prove his innocence, he begins to question his own sanity.",288,"Mort Rainey, ein Schriftsteller, der gerade eine schmerzhafte Scheidung mit seiner Ex-Frau hinter sich gebracht hat, wird in seinem abgelegenen Haus am See von einem psychotischen Fremden und Möchtegern-Schreiber verfolgt, der behauptet, Rainey habe ihm seine beste Story-Idee gestohlen. Doch während Rainey versucht, seine Unschuld zu beweisen, beginnt er an seinem eigenen Verstand zu zweifeln."
9522,Wedding Crashers,"John and his buddy Jeremy are emotional criminals who know how to use a woman's hopes and dreams for their own carnal gain. And their modus operandi? Crashing weddings. Normally, they meet guests who want to toast the romantic day with a random hook-up. But when John meets Claire, he discovers what true love -- and heartache -- feels like.",341,"John und sein Kumpel Jeremy sind emotionale Kriminelle, die wissen, wie sie die Hoffnungen und Träume einer Frau für ihre eigene fleischliche Bereicherung nutzen können. Und ihr Modus Operandi? Sie platzen in Hochzeiten. Normalerweise treffen sie sich mit Gästen, die mit einer zufälligen Affäre auf den romantischen Tag anstoßen wollen. Aber als John Claire trifft, erfährt er, wie sich wahre Liebe - und Herzschmerz - anfühlt."
42297,Burlesque,"The Burlesque Lounge has its best days behind it. Tess, a retired dancer and owner of the venue, struggles to keep the aging theater alive, facing all kinds of financial and artistic challenges. With the Lounge's troupe members becoming increasingly distracted by personal problems and a threat coming from a wealthy businessman's quest to buy the spot from Tess, the good fortune seems to have abandoned the club altogether. Meanwhile, the life of Ali, a small-town girl from Iowa, is about to change dramatically. Hired by Tess as a waitress at the Lounge, Ali escapes a hollow past and quickly falls in love with the art of burlesque. Backed by newfound friends amongst the theater's crew, she manages to fulfill her dreams of being on stage herself. Things take a dramatic turn though when Ali's big voice makes her become the main attraction of the revue",859,"Die Burlesque Lounge hat ihre besten Tage hinter sich. Tess, eine Tänzerin im Ruhestand und Besitzerin des Lokals, kämpft darum, das in die Jahre gekommene Theater am Leben zu erhalten und steht dabei vor allerlei finanziellen und künstlerischen Herausforderungen. Die Mitglieder der Lounge-Truppe werden zunehmend durch persönliche Probleme abgelenkt, und ein reicher Geschäftsmann, der das Lokal von Tess kaufen will, droht, den Club ganz zu verlassen. In der Zwischenzeit beginnt sich das Leben von Ali, einem Kleinstadtmädchen aus Iowa, dramatisch zu verändern. Als sie von Tess als Kellnerin in der Lounge eingestellt wird, entflieht Ali einer hohlen Vergangenheit und verliebt sich schnell in die Kunst des Burlesque. Mit Hilfe ihrer neu gewonnenen Freunde aus der Theatercrew gelingt es ihr, sich ihren Traum von der Bühne zu erfüllen. Die Dinge nehmen jedoch eine dramatische Wendung, als Alis große Stimme sie zur Hauptattraktion der Revue macht"
